kll|genki|state|jlpt|type|writing|reading|english
||hidden|n1|other|嗚呼|ああ|Ah!, Oh!, Alas!
||hidden|n1|other|相|あい|together, mutually, fellow
||hidden|n1|other|相変わらず|あいかわらず|as ever, as usual, the same
||hidden|n1|other|愛想|あいそ|civility, courtesy, compliments, sociability, graces
||hidden|n1|other|相対|あいたい|confrontation, facing, between ourselves, no third party, tete-a-tete
||hidden|n1|other|間柄|あいだがら|relation(ship)
||hidden|n1|other|愛憎|あいにく|likes and dislikes
||hidden|n1|other|合間|あいま|interval
||hidden|n1|other|曖昧|あいまい|vague, ambiguous
||hidden|n1|other|敢えて|あえて|dare (to do), challenge (to do)
||hidden|n1|other|仰ぐ|あおぐ|to look up (to), to respect, to depend on, to ask for, to seek, to revere, to drink, to take
||hidden|n1|other|垢|あか|dirt, filth
||hidden|n1|other|亜科|あか|suborder, subfamily
||hidden|n1|other|銅|あかがね|copper
||hidden|n1|other|証|あかし|proof, evidence
||hidden|n1|other|赤字|あかじ|deficit, go in the red
||hidden|n1|other|明かす|あかす|to pass, spend, to reveal, to divulge
||hidden|n1|other|赤ちゃん|あかちゃん|baby, infant
||hidden|n1|other|商人|あきうど|trader, shopkeeper, merchant
||hidden|n1|other|空間|あきま|vacancy, room for rent or lease
||hidden|n1|other|諦め|あきらめ|resignation, acceptance, consolation
||hidden|n1|other|呆れる|あきれる|to be amazed, to be shocked
||hidden|n1|other|悪|あく|evil, wickedness
||hidden|n1|other|灰|あく|puckery juice
||hidden|n1|other||あくどい|1. gaudy, showy, excessive, 2. vicious
||hidden|n1|other|悪日|あくび|unlucky day
||hidden|n1|other|明くる|あくる|next, following
||hidden|n1|other|憧れ|あこがれ|yearning, longing, aspiration
||hidden|n1|other|顎|あご|chin
||hidden|n1|other|麻|あさ|flax, linen, hemp
||hidden|n1|other|明後日|あさって|day after tomorrow
||hidden|n1|other|彼処|あそこ|1. (uk) there, over there, that place, 2. (X) (col) genitals
||hidden|n1|other|値|あたい|value, price, cost, worth, merit
||hidden|n1|other|値する|あたいする|to be worth, to deserve, to merit
||hidden|n1|other|私|あたし|I (fem)
||hidden|n1|other|当たり|あたり|hit, success, reaching the mark, per ..., vicinity, neighborhood
||hidden|n1|other|当たり前|あたりまえ|usual, common, ordinary, natural, reasonable, obvious
||hidden|n1|other|他人|あだびと|another person, unrelated person, outsider, stranger
||hidden|n1|other|彼方此方|あちこち|here and there
||hidden|n1|other|彼方|あちら|1. there, yonder, that
||hidden|n1|other|彼方此方|あちらこちら|here and there
||hidden|n1|other|悪化|あっか|deterioration, growing worse, aggravation, degeneration, corruption
||hidden|n1|other|呆気ない|あっけない|not enough, too quick (short long etc.)
||hidden|n1|other|悪口|あっこう|abuse, insult, slander, evil speaking
||hidden|n1|other|あっさり|あっさり|easily, readily, quickly
||hidden|n1|other|圧迫|あっぱく|pressure, coercion, oppression
||hidden|n1|other|扱い|あつかい|treatment, service
||hidden|n1|other|集まる|あつまる|to gather, to collect, to assemble
||hidden|n1|other|誂える|あつらえる|to give an order, to place an order
||hidden|n1|other|圧力|あつりょく|stress, pressure
||hidden|n1|other|当て|あて|object, aim, end, hopes, expectations
||hidden|n1|other|宛|あて|addressed to
||hidden|n1|other|当て字|あてじ|phonetic-equivalent character, substitute character
||hidden|n1|other|当てはまる|あてはまる|to apply (a rule)
||hidden|n1|other|当てはめる|あてはめる|to apply, to adapt
||hidden|n1|other|宛てる|あてる|to address
||hidden|n1|other|跡継ぎ|あとつぎ|heir, successor
||hidden|n1|other|後回し|あとまわし|putting off, postponing
||hidden|n1|other|貴女|あなた|you, lady
||hidden|n1|other|彼の|あの|that over there
||hidden|n1|other|溢れる|あふれる|to flood, to overflow, to brim over
||hidden|n1|other|油絵|あぶらえ|oil painting
||hidden|n1|other|炙る|あぶる|to scorch
||hidden|n1|other|あべこべ|あべこべ|contrary, opposite, inverse
||hidden|n1|other|甘える|あまえる|to behave like a spoiled child, to fawn on
||hidden|n1|other|甘口|あまくち|sweet flavour, mildness, flattery, stupidity
||hidden|n1|other|雨具|あまぐ|rain gear
||hidden|n1|other|天|あまつ|heavenly, imperial
||hidden|n1|other|網|あみ|net, network
||hidden|n1|other|天地|あめつち|heaven and earth, the universe, nature, top and bottom, realm, sphere, world
||hidden|n1|other|操る|あやつる|to manipulate, to operate, to pull strings
||hidden|n1|other|あやふや|あやふや|uncertain, vague, ambiguous
||hidden|n1|other|危ぶむ|あやぶむ|to fear, to have misgivings, to be doubtful, to mistrust
||hidden|n1|other|過ち|あやまち|fault, error, indiscretion
||hidden|n1|other|誤る|あやまる|to make a mistake
||hidden|n1|other|歩み|あゆみ|walking
||hidden|n1|other|歩む|あゆむ|to walk, to go on foot
||hidden|n1|other|あら|あら|oh, ah, saw-edged perch (Niphon spinosus)
||hidden|n1|other|予め|あらかじめ|beforehand, in advance, previously
||hidden|n1|other|荒らす|あらす|to lay waste, to devastate, to damage, to invade, to break into
||hidden|n1|other|粗筋|あらすじ|outline, summary
||hidden|n1|other|争い|あらそい|dispute, strife, quarrel, dissension, conflict, rivalry, contest
||hidden|n1|other|改まる|あらたまる|to be renewed
||hidden|n1|other|荒っぽい|あらっぽい|rough, rude
||hidden|n1|other|凡ゆる|あらゆる|all, every
||hidden|n1|other|あられ|あられ|kind of cookie, cartoon character
||hidden|n1|other|現われ|あらわれ|embodiment, materialization
||hidden|n1|other|現われる|あらわれる|to appear, to come in sight, to become visible, to come out, to embody, to materialize, to express oneself
||hidden|n1|other|有難う|ありがとう|Thank you
||hidden|n1|other|有様|ありさま|state, condition, circumstances, the way things are or should be, truth
||hidden|n1|other|有りのまま|ありのまま|the truth, fact, as it is, frankly
||hidden|n1|other|或る|ある|a certain..., some...
||hidden|n1|other|或いは|あるいは|or, possibly
||hidden|n1|other|彼此|あれこれ|one thing or another, this and that, this or that
||hidden|n1|other|合わす|あわす|to join together, to face, to unite, to be opposite, to combine, to connect, to add up, to mix, to match, to
||hidden|n1|other|合わせ|あわせ|joint together, opposite, facing
||hidden|n1|other|慌ただしい|あわただしい|busy, hurried, confused, flurried
||hidden|n1|other|慌てる|あわてる|to become confused (disconcerted disorganized)
||hidden|n1|other|暗殺|あんさつ|assassination
||hidden|n1|other|暗算|あんざん|mental arithmetic
||hidden|n1|other|暗示|あんじ|hint, suggestion
||hidden|n1|other|案じる|あんじる|to be anxious, to ponder
||hidden|n1|other|安静|あんせい|rest
||hidden|n1|other|案の定|あんのじょう|sure enough, as usual
||hidden|n1|other|余り|あんまり|not very (this form only used as adverb), not much, remainder, rest, remnant, surplus, balance, excess, rema
||hidden|n1|other|依|い|depending on
||hidden|n1|other|良い|いい|good
||hidden|n1|other|伊井|いい|that one, Italy
||hidden|n1|other|否|いいえ|no, nay, yes, well
