genki,state,jnlp,type,writing,reading,english,swedish
4,,n5,verb,会う,あう,to meet,möta
,hidden,n5,adjective,青,あお,blue,blå
9,,n5,adjective,青い,あおい,blue,blå
,hidden,n5,other,赤,あか,red,röd
9,,n5,adjective,赤い,あかい,red,röd
,,n5,adjective,明い,あかるい,bright,ljus
,,n5,noun,秋,あき,autumn,höst
,,n5,verb,開く,あく,to become open,öppna sig
,hidden,n5,verb,開く,あく,to open,öppna
,,n5,verb,開ける,あける,to open,öppna
,,n5,verb,上げる,あげる,to give,ge
,,n5,noun,朝,あさ,morning,morgon
,,n5,noun,朝御飯,あさごはん,breakfast,frukost
,,n5,temporal,あさって,あさって,day after tomorrow,övermorgon
,hidden,n5,noun,足,あし,leg,ben
,,n5,noun,足,あし,foot,fot
,,n5,temporal,明日,あした,tomorrow,imorgon
,,n5,pronoun,あそこ,あそこ,over there,där borta
,hidden,n5,verb,遊ぶ,あそぶ,to make a visit,hälsa på
,,n5,verb,遊ぶ,あそぶ,to play,leka
,,n5,adjective,暖かい,あたたかい,warm,varm
,,n5,noun,頭,あたま,head,huvud
,,n5,adjective,新しい,あたらしい,new,ny
,,n5,pronoun,あちら,あちら,there,där
,,n5,adjective,暑い,あつい,hot,het
,hidden,n5,adjective,熱い,あつい,hot to the touch,brännhet
,hidden,n5,adjective,厚い,あつい,thick,tjock
,hidden,n5,adjective,厚い,あつい,deep,djup
,,n5,adjective,厚い,あつい,kind,snäll
,,n5,pronoun,あっち,あっち,over there,där borta
,,n5,temporal,後,あと,afterwards,efteråt
,,n5,pronoun,あなた,あなた,you,du
,,n5,noun,兄,あに,(humble) older brother,storebror (ödmjuk)
,,n5,noun,姉,あね,(humble) older sister,storasyster (ödmjuk)
,,n5,pronoun,あの,あの,that over there,där borta
1,,n5,interjection,あの,あの,um...,hm...
,,n5,noun,アパート,アパート,apartment,lägenhet
,hidden,n5,verb,あびる,あびる,shower,duscha
,,n5,verb,あびる,あびる,bathe,bada
,,n5,adjective,危ない,あぶない,dangerous,farlig
,,n5,adjective,甘い,あまい,sweet,söt
,,n5,adverb,あまり,あまり,not very,inte mycket
,,n5,noun,雨,あめ,rain,regn
,,n5,noun,飴,あめ,candy,godis
,,n5,verb,洗う,あらう,wash,tvätta
,,n5,verb,ある,ある,be (used for inanimate objects),vara (saker)
,hidden,n5,verb,ある,ある,have (used for inanimate objects),ha
,hidden,n5,verb,歩く,あるく,walk,gå
,,n5,pronoun,あれ,あれ,that,det
,,n5,adjective,いい,いい,good,bra
,hidden,n5,adjective,よい,よい,good,bra
,,n5,interjection,いいえ,いいえ,no,nej
,,n5,verb,言う,いう,say,säga
