genki|state|type|writing|reading|english|swedish
13||noun|ウエイター|ウエイター|waiter|servitör
13||noun|外国語|がいこくご|foreign language|främmande språk
13||noun|楽器|がっき|musical instrument|musikinstrument
13||noun|空手|からて|karate|karate
13||noun|ゴルフ|ゴルフ|golf|golf
13||noun|バイク|バイク|motorcycle|motorcykel
13||noun|弁護し|べんごし|lawyer|advokat
13||noun|募集|ぼしゅう|recruitment|rekrytering
13||noun|やくざ|やくざ|yakuza|yakuza
15||noun|インターネット|インターネット|Internet|Internet
15||noun|クラブ|クラブ|night club|nattklubb
15||noun|結婚式|けっこんしき|wedding|bröllop
15||noun|締め切り|しめきり|deadline|deadline
15||noun|ジャケット|ジャケット|jacket|jacka
15||noun|卒業式|そつぎょうしき|graduation ceremony|studenten
15||noun|そば|そば|soba|soba
15||noun|電池|でんち|battery|batteri
15||noun|保険|ほけん|insurance|försäkring
15||noun|割引券|わりびきけん|coupon|rabattkupong
15||verb|下ろす|おろす|withdraw (money)|ta ut (pengar)
|hidden|other||||
|hidden|other||||
|hidden|other||||
|hidden|other||||
|hidden|other||||
