id|gu|kll|genki|state|type|writing|reading|english|swedish
ono01|jp1200|||hidden|onomatopoeia|ニコニコ|ニコニコ||
ono02|jp1200|||hidden|onomatopoeia|ワクワク|ワクワク||
ono03|jp1200|||hidden|onomatopoeia|イライラ|イライラ||
ono04|jp1200|||hidden|onomatopoeia|モジモジ|モジモジ||
ono05|jp1200|||hidden|onomatopoeia|ムシムシ|ムシムシ||
ono06|jp1200|||hidden|onomatopoeia|グズグズ|グズグズ||
ono07|jp1200|||hidden|onomatopoeia|ブラブラ|ブラブラ||
ono08|jp1200|||hidden|onomatopoeia|ドキドキ|ドキドキ||
ono09|jp1200|||hidden|onomatopoeia|ドンドン|ドンドン||
ono10|jp1200|||hidden|onomatopoeia|バラバラ|バラバラ||
ono11|jp1200|||hidden|onomatopoeia|カンカン|カンカン||
ono12|jp1200|||hidden|onomatopoeia|ホカホカ|ホカホカ||
ono13|jp1200|||hidden|onomatopoeia|ボロボロ|ボロボロ||
ono14|jp1200|||hidden|onomatopoeia|クルクル|クルクル||
ono15|jp1200|||hidden|onomatopoeia|わざわざ|わざわざ||
ono16|jp1200|||hidden|onomatopoeia|ツルツル|ツルツル||
ono17|jp1200|||hidden|onomatopoeia|ワンワン|ワンワン||
ono18|jp1200|||hidden|onomatopoeia|ピカピカ|ピカピカ||
ono19|jp1200|||hidden|onomatopoeia|ザーザー|ザーザー||
ono20|jp1200|||hidden|onomatopoeia|ゾクゾク|ゾクゾク||
ono21|jp1200|||hidden|onomatopoeia|カーン|カーン||
ono|jp1200|||hidden|onomatopoeia||||
ono|jp1200|||hidden|onomatopoeia||||
ono|jp1200|||hidden|onomatopoeia||||
ono|jp1200|||hidden|onomatopoeia||||
ono|jp1200|||hidden|onomatopoeia||||
ono|jp1200|||hidden|onomatopoeia||||
ono|jp1200|||hidden|onomatopoeia||||
